,ranks,ids,names,symbols,type,algorithm,proof,icon,url links,description
0,1,bitcoin,Bitcoin,BTC,Coin,SHA-256d,PoW,https://cdn.coinranking.com/Sy33Krudb/btc.svg,https://bitcoin.org/,An innovative payment network and a new kind of money.
1,2,ethereum,Ethereum,ETH,Coin,Ethash,PoW,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,https://www.ethereum.org/,Blockchain app platform
2,3,ripple,Ripple,XRP,Coin,N/A,RPCA,https://cdn.coinranking.com/Bkuz9Hd_-/xrp.svg,https://ripple.com/,The world?s only enterprise blockchain solution for global payments
3,4,bitcoin-cash,Bitcoin Cash,BCH,Coin,SHA256,PoW,https://cdn.coinranking.com/SkdJqSuuW/bch.svg,https://www.bitcoincash.org/,Peer-to-Peer Electronic Cash
4,5,litecoin,Litecoin,LTC,Coin,Scrypt,PoW,https://cdn.coinranking.com/HyZL5BOOb/ltc.svg,https://litecoin.com,Global decentralized currency based on blockchain technology
5,6,cardano,Cardano,ADA,Coin,Ouroboros,PoS,https://cdn.coinranking.com/ryY28nXhW/ada.svg,https://www.cardanohub.org/,Cardano is a decentralised public blockchain and cryptocurrency project and is fully open source. Cardano is developing a smart contract platform which seeks to deliver more advanced features than any protocol previously developed. It is the first blockchain platform to evolve out of a scientific philosophy and a research-first driven approach. The development team consists of a large global collective of expert engineers and researchers
6,7,iota,IOTA,MIOTA,Coin,SHA-3,DAG,https://cdn.coinranking.com/H1IQ9Bdd-/miota.svg,https://iota.org/,The economy of things. The main innovation behind IOTA is the Tangle
7,8,dash,Dash,DASH,Coin,X11,PoW/PoS,https://cdn.coinranking.com/BkIK5rOd-/dash.svg,https://www.dash.org/,A revolutionary digital money system.
8,9,nem,NEM,XEM,Coin,N/A,PoI,https://cdn.coinranking.com/Bkvu9rOOZ/xem.svg,http://nem.io,"The smart asset  blockchain, built for performance. NEM?s blockchain platform was designed and coded from the ground up for scale and speed."
9,10,bitcoin-gold,Bitcoin Gold,BTG,Coin,Equihash,PoW,https://cdn.coinranking.com/BkLedkw-G/btg.svg,https://bitcoingold.org/,Make bitcoin decentralized again. Bitcoin gold is a fork of the bitcoin blockchain. 
10,11,monero,Monero,XMR,Coin,CryptoNight,PoW,https://cdn.coinranking.com/Syz-oSd_Z/xmr.svg,http://www.monero.cc,"private digital currency. Monero is a secure, private, and untraceable cryptocurrency."
11,12,eos,EOS,EOS,Token,DPoS,DPoS,https://cdn.coinranking.com/H1YjiSd_-/eos.svg,https://eos.io/,the most powerful infrastructure for decentralized applications
12,13,stellar,Stellar,XLM,Coin,N/A,N/A,https://cdn.coinranking.com/HyAEXLuOZ/xlm.svg,https://www.stellar.org,"Stellar is Open-Source, Distributed Payments Infrastructure. It connects people, payment systems, and banks. Integrate with Stellar to move money quickly, reliably, and for a fraction of a penny."
13,14,qtum,Qtum,QTUM,Coin,POS 3.0,PoS,https://cdn.coinranking.com/HJ7woSuuW/qtum.svg,https://qtum.org/,"the blockchain made ready for business, build decentralized applications that simply work executable on mobile devices, compatible with major existing blockchain ecosystems."
14,15,neo,NEO,NEO,Coin,N/A,N/A,https://cdn.coinranking.com/Bkop5Hu_Z/neo.svg,https://neo.org/,An Open Network For Smart Economy
15,16,ethereum-classic,Ethereum Classic,ETC,Coin,Ethash,PoW,https://cdn.coinranking.com/rJfyor__W/etc.svg,https://ethereumclassic.github.io/,"a decentralized platform that runs smart contracts: applications that run˜exactly as programmed without any possibility of downtime, censorship, fraud or third party interference."
16,17,tron,TRON,TRX,Token,N/A,N/A,https://cdn.coinranking.com/B10WKs76Z/trx.svg,https://tronlab.com/,"Decentralized Trustworthy Application, Smart Contracts empowered by blockchain, Digital Values issued and obtained by everyone, A Next Era of Web 4.0"
17,18,lisk,Lisk,LSK,Coin,DPoS,DPoS,https://cdn.coinranking.com/SydghSdub/lsk.svg,https://lisk.io/,Blockchain Application Platform
18,19,bitconnect,BitConnect,BCC,Coin,#N/A,#N/A,https://cdn.coinranking.com/SJN4sHdO-/bcc.svg,https://bitconnectcoin.co/,"Empowering people financially by distributing decentralized value.  It is an open source, peer-to-peer, community driven decentralized cryptocurrency that allow people to store and invest their wealth in a non-government controlled currency, and even earn a substantial interest on investment. This means anyone holding BitConnect Coin in their wallet will receive interest on their balance in return for helping maintain security of the network."
19,20,verge,Verge,XVG,Coin,Multiple,PoW,https://cdn.coinranking.com/SklJgPdu-/xvg.svg,http://vergecurrency.com/,"Verge is aÿsecureÿandÿanonymousÿcryptocurrency, built with a focus onÿprivacy."
20,21,zcash,Zcash,ZEC,Coin,Equihash,PoW,https://cdn.coinranking.com/rJrKiS_uZ/zec.svg,https://z.cash/,"Internet money. Bitcoin and most cryptocurrencies expose your entire payment history to the public. Zcash is the first open, permissionless cryptocurrency that can fully protect the privacy of transactions using zero-knowledge cryptography."
